Review_ID,Subject,Relation,Object
97,you,enter,riad
97,Bouchra,help,we
97,we,enjoy,breakfast
97,we,recommend,riad
100,I,state,day
100,they,treat,guest
100,they,do,guest
100,they,do,favor
101,we,dislike,food
102,we,have,time
102,we,have,meal
102,wife,eat,egg
102,we,fit,kind
103,I,travel,lot
105,check,take,minute
105,in,take,minute
105,we,need,that
105,we,take,trip
105,we,take,ride
105,kid,enjoy,which
105,wife,sign,that
105,I,say,enough
105,I,recommend,stay
106,staff,congratulate,we
106,we,take,plane
106,Wilfried,offer,check
106,we,have,course
107,which,share,space
107,which,have,that
108,I,have,neckache
108,I,like,which
108,you,order,what
109,Marriott,deliver,less
110,room,have,smell
110,you,hear,everything
111,we,buy,one
111,we,have,time
111,we,tip,waitress
112,we,take,it
112,we,park,car
112,that,cost,10
112,we,take,it
112,it,contain,number
112,restaurant,read,review
114,who,mention,plug
114,bird,make,lot
114,this,bother,we
115,it,have,staff
117,who,hand,pack
117,we,do,which
117,we,enjoy,bay
117,you,have,access
117,which,take,you
118,I,enjoy,stay
118,I,have,double
118,I,mention,WiFi
120,I,expect,something
120,you,want,internet
120,I,get,experience
121,that,speak,english
121,that,help,you
121,I,spend,price
122,Tours,take,we
124,which,face,side
124,room,have,shower
124,which,have,lot
124,we,need,snack
124,that,serve,cuisine
124,that,have,tourist
124,I,expect,service
124,I,recommend,hotel
125,we,spend,time
125,you,get,dish
127,room,offer,sheet
127,you,find,bathrobe
127,it,have,fridge
128,we,spend,weekend
131,you,want,dump
131,nothing,are,room
131,desk,have,crumble
131,I,tell,you
131,you,spelt,rat
131,it,come,what
133,we,enter,restaurant
133,I,tell,thing
133,you,call,inn
134,we,have,meal
134,they,understand,English
134,I,recommend,restaurant
135,it,combine,room
135,it,combine,staff
135,I,recommend,it
138,it,see,day
139,hotel,contact,you
139,they,cancel,reservation
141,we,have,night
141,staff,play,role
141,resort,offer,everything
142,they,seat,we
142,we,have,dinner
142,I,recommend,place
143,they,build,something
145,we,recommend,riad
146,you,get,it
146,bar,have,view
147,Lodge,have,room
149,employee,help,we
152,Restauración,walk,distance
152,it,have,gym
152,I,like,it
152,I,have,complaint
154,I,like,beach
154,you,have,something
154,you,have,car
154,we,rent,car
156,room,remind,I
